2023-06-16 13:55:35 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.4.Final
2023-06-16 13:55:37 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/encrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-06-16 13:55:37 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/encrypt/**']
2023-06-16 13:55:37 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/decrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-06-16 13:55:37 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/decrypt/**']
2023-06-16 13:55:42 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2023-06-16 13:55:42 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2023-06-16 13:55:42 [main] INFO  com.microservices.ConfigServer - Started ConfigServer in 7.39 seconds (JVM running for 7.796)
2023-06-16 14:01:48 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.4.Final
2023-06-16 14:01:48 [main] INFO  com.microservices.ConfigServer - Starting ConfigServer v0.0.1-SNAPSHOT using Java 17.0.7 on 02a193aa2ef4 with PID 1 (/workspace/BOOT-INF/classes started by cnb in /workspace)
2023-06-16 14:01:48 [main] INFO  com.microservices.ConfigServer - No active profile set, falling back to 1 default profile: "default"
2023-06-16 14:01:48 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=978d5c52-6c3d-3cd6-9770-561b126197d3
2023-06-16 14:01:49 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2023-06-16 14:01:49 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2023-06-16 14:01:49 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-06-16 14:01:49 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
2023-06-16 14:01:49 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-06-16 14:01:49 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1045 ms
2023-06-16 14:01:49 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@1e3f0aea, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@48268eec, org.springframework.security.web.context.SecurityContextPersistenceFilter@9a20cbd, org.springframework.security.web.header.HeaderWriterFilter@4ea17147, org.springframework.security.web.csrf.CsrfFilter@f5a7226, org.springframework.security.web.authentication.logout.LogoutFilter@4d93f75b, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@5fdfe8cf, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@66e21568, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@69a024a0, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@2a4f8009, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@445821a6, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2c0c4c0a, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4bf80c29, org.springframework.security.web.session.SessionManagementFilter@5ba90d8a, org.springframework.security.web.access.ExceptionTranslationFilter@7d0100ea, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@796d33eb]
2023-06-16 14:01:49 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/actuator/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-06-16 14:01:49 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/actuator/**']
2023-06-16 14:01:49 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/encrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-06-16 14:01:49 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/encrypt/**']
2023-06-16 14:01:49 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/decrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-06-16 14:01:49 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/decrypt/**']
2023-06-16 14:01:54 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2023-06-16 14:01:54 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2023-06-16 14:01:54 [main] INFO  com.microservices.ConfigServer - Started ConfigServer in 6.768 seconds (JVM running for 7.123)
2023-06-16 14:26:54 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.4.Final
2023-06-16 14:26:54 [main] INFO  com.microservices.ConfigServer - Starting ConfigServer v0.0.1-SNAPSHOT using Java 17.0.7 on 482f4a76be80 with PID 1 (/workspace/BOOT-INF/classes started by cnb in /workspace)
2023-06-16 14:26:54 [main] INFO  com.microservices.ConfigServer - No active profile set, falling back to 1 default profile: "default"
2023-06-16 14:26:55 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=978d5c52-6c3d-3cd6-9770-561b126197d3
2023-06-16 14:26:55 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2023-06-16 14:26:55 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2023-06-16 14:26:55 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-06-16 14:26:55 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
2023-06-16 14:26:55 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-06-16 14:26:55 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1036 ms
2023-06-16 14:26:56 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@2401856, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6d6f6860, org.springframework.security.web.context.SecurityContextPersistenceFilter@4ea17147, org.springframework.security.web.header.HeaderWriterFilter@35bfa1bb, org.springframework.security.web.csrf.CsrfFilter@764b14b8, org.springframework.security.web.authentication.logout.LogoutFilter@5d05f453, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@796d33eb, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@2c0c4c0a, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@2a4f8009, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@7d42404e, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5ba90d8a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@309dcdf3, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@a85644c, org.springframework.security.web.session.SessionManagementFilter@68b11545, org.springframework.security.web.access.ExceptionTranslationFilter@319642db, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@1d4f5506]
2023-06-16 14:26:56 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/actuator/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-06-16 14:26:56 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/actuator/**']
2023-06-16 14:26:56 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/encrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-06-16 14:26:56 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/encrypt/**']
2023-06-16 14:26:56 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/decrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-06-16 14:26:56 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/decrypt/**']
2023-06-16 14:27:01 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2023-06-16 14:27:01 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2023-06-16 14:27:01 [main] INFO  com.microservices.ConfigServer - Started ConfigServer in 6.92 seconds (JVM running for 7.334)
2023-06-16 14:29:22 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.4.Final
2023-06-16 14:29:22 [main] INFO  com.microservices.ConfigServer - Starting ConfigServer v0.0.1-SNAPSHOT using Java 17.0.7 on 1fdf02afcc25 with PID 1 (/workspace/BOOT-INF/classes started by cnb in /workspace)
2023-06-16 14:29:22 [main] INFO  com.microservices.ConfigServer - No active profile set, falling back to 1 default profile: "default"
2023-06-16 14:29:23 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=978d5c52-6c3d-3cd6-9770-561b126197d3
2023-06-16 14:29:23 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2023-06-16 14:29:23 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2023-06-16 14:29:23 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-06-16 14:29:23 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
2023-06-16 14:29:23 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-06-16 14:29:23 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1079 ms
2023-06-16 14:29:24 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@5934153e, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3bb9ca38, org.springframework.security.web.context.SecurityContextPersistenceFilter@40ce9049, org.springframework.security.web.header.HeaderWriterFilter@543d5863, org.springframework.security.web.csrf.CsrfFilter@7d0100ea, org.springframework.security.web.authentication.logout.LogoutFilter@faea4da, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@2d7637e6, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@664e848c, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@160e99e0, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@5df7e31b, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@65c5bf0e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@697d6ded, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4f3e9fbb, org.springframework.security.web.session.SessionManagementFilter@dd3f8aa, org.springframework.security.web.access.ExceptionTranslationFilter@611b35d6, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@8054fe2]
2023-06-16 14:29:24 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/actuator/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-06-16 14:29:24 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/actuator/**']
2023-06-16 14:29:24 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/encrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-06-16 14:29:24 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/encrypt/**']
2023-06-16 14:29:24 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/decrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-06-16 14:29:24 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/decrypt/**']
2023-06-16 14:29:29 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2023-06-16 14:29:29 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2023-06-16 14:29:29 [main] INFO  com.microservices.ConfigServer - Started ConfigServer in 6.999 seconds (JVM running for 7.372)
2023-06-16 14:34:08 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.4.Final
2023-06-16 14:34:08 [main] INFO  com.microservices.ConfigServer - Starting ConfigServer v0.0.1-SNAPSHOT using Java 17.0.7 on 6fd790df63b1 with PID 1 (/workspace/BOOT-INF/classes started by cnb in /workspace)
2023-06-16 14:34:08 [main] INFO  com.microservices.ConfigServer - No active profile set, falling back to 1 default profile: "default"
2023-06-16 14:34:08 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=978d5c52-6c3d-3cd6-9770-561b126197d3
2023-06-16 14:34:09 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2023-06-16 14:34:09 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2023-06-16 14:34:09 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-06-16 14:34:09 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
2023-06-16 14:34:09 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-06-16 14:34:09 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 985 ms
2023-06-16 14:34:09 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@4e8b357d, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2e1eb85f, org.springframework.security.web.context.SecurityContextPersistenceFilter@202d9236, org.springframework.security.web.header.HeaderWriterFilter@41bfa9e9, org.springframework.security.web.csrf.CsrfFilter@17d2b075, org.springframework.security.web.authentication.logout.LogoutFilter@309dcdf3, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@79b18230, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@22da2fe6, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@ea7a4c3, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@2f79f192, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6d6ac396, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@432af457, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7d42404e, org.springframework.security.web.session.SessionManagementFilter@7069f076, org.springframework.security.web.access.ExceptionTranslationFilter@721d5b74, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@392781e]
2023-06-16 14:34:09 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/actuator/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-06-16 14:34:09 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/actuator/**']
2023-06-16 14:34:09 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/encrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-06-16 14:34:09 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/encrypt/**']
2023-06-16 14:34:09 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/decrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-06-16 14:34:09 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/decrypt/**']
2023-06-16 14:34:14 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2023-06-16 14:34:14 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2023-06-16 14:34:14 [main] INFO  com.microservices.ConfigServer - Started ConfigServer in 6.766 seconds (JVM running for 7.147)
2023-06-16 14:35:09 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-06-16 14:35:09 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-06-16 14:35:09 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-06-16 14:38:23 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.4.Final
2023-06-16 14:38:23 [main] INFO  com.microservices.ConfigServer - Starting ConfigServer v0.0.1-SNAPSHOT using Java 17.0.7 on 415d82512fc0 with PID 1 (/workspace/BOOT-INF/classes started by cnb in /workspace)
2023-06-16 14:38:23 [main] INFO  com.microservices.ConfigServer - No active profile set, falling back to 1 default profile: "default"
2023-06-16 14:38:24 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=978d5c52-6c3d-3cd6-9770-561b126197d3
2023-06-16 14:38:24 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2023-06-16 14:38:24 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2023-06-16 14:38:24 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-06-16 14:38:24 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
2023-06-16 14:38:24 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-06-16 14:38:24 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1044 ms
2023-06-16 14:38:25 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@4f3e9fbb, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@365afe87, org.springframework.security.web.context.SecurityContextPersistenceFilter@697d6ded, org.springframework.security.web.header.HeaderWriterFilter@3d615b2e, org.springframework.security.web.csrf.CsrfFilter@2eda4eeb, org.springframework.security.web.authentication.logout.LogoutFilter@69f2cb04, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@32a4ecbe, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@4f281aaf, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@43471a7e, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@5934153e, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5efeb117, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@160b4809, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@21e45a6f, org.springframework.security.web.session.SessionManagementFilter@40ce9049, org.springframework.security.web.access.ExceptionTranslationFilter@35dece42, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@69a024a0]
2023-06-16 14:38:25 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/actuator/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-06-16 14:38:25 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/actuator/**']
2023-06-16 14:38:25 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/encrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-06-16 14:38:25 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/encrypt/**']
2023-06-16 14:38:25 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/decrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-06-16 14:38:25 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/decrypt/**']
2023-06-16 14:38:30 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2023-06-16 14:38:30 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2023-06-16 14:38:30 [main] INFO  com.microservices.ConfigServer - Started ConfigServer in 6.861 seconds (JVM running for 7.239)
2023-06-16 14:38:55 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-06-16 14:38:55 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-06-16 14:38:55 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-06-16 14:40:16 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.4.Final
2023-06-16 14:40:16 [main] INFO  com.microservices.ConfigServer - Starting ConfigServer v0.0.1-SNAPSHOT using Java 17.0.7 on c794d88c9576 with PID 1 (/workspace/BOOT-INF/classes started by cnb in /workspace)
2023-06-16 14:40:16 [main] INFO  com.microservices.ConfigServer - No active profile set, falling back to 1 default profile: "default"
2023-06-16 14:40:17 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=978d5c52-6c3d-3cd6-9770-561b126197d3
2023-06-16 14:40:17 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2023-06-16 14:40:17 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2023-06-16 14:40:17 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-06-16 14:40:17 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
2023-06-16 14:40:17 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-06-16 14:40:17 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1059 ms
2023-06-16 14:40:18 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@2d7637e6, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@515b9d4a, org.springframework.security.web.context.SecurityContextPersistenceFilter@35d26ad2, org.springframework.security.web.header.HeaderWriterFilter@7573b9ee, org.springframework.security.web.csrf.CsrfFilter@22da2fe6, org.springframework.security.web.authentication.logout.LogoutFilter@f2b90fc, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@ea7a4c3, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@543d5863, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@39b626e5, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@48268eec, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@ee21292, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@40c06358, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@32a4ecbe, org.springframework.security.web.session.SessionManagementFilter@1af4955e, org.springframework.security.web.access.ExceptionTranslationFilter@5ba90d8a, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@2f79f192]
2023-06-16 14:40:18 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/actuator/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-06-16 14:40:18 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/actuator/**']
